Wall time,Step,Value
1545580100.5668304,0,1.1883697509765625
1545580130.917153,1,0.5947197675704956
1545580169.0714128,2,0.43534576892852783
1545580203.3153536,3,0.312997043132782
1545580236.2373152,4,0.35959139466285706
1545580268.9813566,5,0.23859556019306183
1545580302.4222715,6,0.22241990268230438
1545580334.9524498,7,0.24105995893478394
1545580365.5436685,8,0.22185687720775604
1545580404.6417372,9,0.1883130669593811
